elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,NBack_resp_2.rt,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
1153.4934,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.7622,6,6,66,4,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1156.5184,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8929,6,7,67,2,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1159.6564,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.5316,6,8,68,1,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1163.4569,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8701,6,9,69,8,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1166.5878,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.0395,7,0,70,7,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1169.9039,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8506,7,1,71,4,1,target,T,,,,,,,,,,,,,,,,,,,,,,
1173.0164,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.5769,7,2,72,9,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1176.8344,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.8615,7,3,73,3,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1180.9678,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,1,1.1587,7,4,74,1,1,nonTarget,L,,,,,,,,,,,,,,,,,,,,,,
1184.4032,,,,,,,,CU-MSc-pilot-1-LC,2023-10-19_16h30.06.563,Mental Fatigue Training Session,2020.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.8432,7,5,75,2,1,target,T,,,,,,,,,,,,,,,,,,,,,,
